arribos,salidas,demandas,potencias
0,0.270555556,0.89637,0.615285714
1.816666667,3.578888889,10.147,1
2.183333333,6.321388889,13.748,0.617
2.433333333,3.803888889,6.3335,0.858214286
2.766666667,2.859444444,0.30187,0.604242857
2.933333333,4.373611111,4.7287,0.609742857
2.966666667,6.954722222,12.4,0.577457143
3.133333333,5.848611111,6.2485,0.427371429
3.166666667,6.344444444,13.878,0.811071429
3.316666667,4.099722222,1.3749,0.326085714
3.333333333,5.757222222,7.7683,0.5952
3.35,4.851388889,2.8462,0.352057143
3.483333333,4.9775,5.36,0.666214286
3.55,7.2875,17.295,0.859385714
3.55,7.455555556,16.232,0.771871429
3.666666667,5.945833333,13.804,1
3.666666667,4.088611111,2.373,1
3.766666667,4.969166667,3.7866,0.5848
3.933333333,6.627777778,9.7665,0.673157143
4,4.843055556,2.765,0.6091
4.016666667,4.430277778,1.3511,0.606671429
4.016666667,5.921944444,10.812,1
4.15,5.9525,8.6192,0.888042857
4.15,8.708611111,14.371,0.585442857
4.233333333,6.295833333,11.799,1
4.233333333,8.349166667,14.558,0.6569
4.416666667,8.425277778,12.893,0.597314286
4.433333333,6.829166667,14.265,1
4.483333333,5.904166667,4.1564,0.543271429
4.55,7.451388889,11.116,0.711514286
4.583333333,7.707222222,10.386,0.617471429
4.65,14.31916667,58.431,1
4.7,7.661388889,17.235,1
4.733333333,6.943333333,6.6328,0.557371429
4.733333333,8.525277778,11.037,0.540528571
4.783333333,9.369722222,14.95,0.605385714
4.8,9.251388889,17.032,0.710571429
4.833333333,8.740555556,22.199,1
4.833333333,8.948888889,18.48,0.8339
4.866666667,15.27083333,47.099,0.840714286
4.883333333,8.596111111,22.787,1
4.933333333,7.507222222,15.22,1
4.933333333,8.046111111,11.12,0.663442857
4.933333333,8.646388889,15.436,0.772071429
4.95,7.273611111,9.6922,0.774642857
4.983333333,7.980833333,10.213,0.632785714
5.016666667,9.040277778,16.887,0.779442857
5.05,8.533611111,10.596,0.564885714
5.05,9.298888889,18.186,0.794871429
5.133333333,12.50222222,35.057,0.883514286
5.15,7.534166667,13.017,1
5.15,9.522777778,18.52,0.786557143
5.166666667,9.616944444,19.011,0.793328571
5.183333333,7.080555556,5.7022,0.558171429
5.183333333,9.378055556,14.894,0.659428571
5.233333333,7.7375,14.377,1
5.25,9.76,18.855,0.776414286
5.283333333,7.819722222,7.9866,0.584785714
5.316666667,6.384722222,1.1669,0.2029
5.366666667,11.65222222,18.642,0.550814286
5.366666667,8.443055556,11.468,0.692328571
5.366666667,7.384722222,7.3418,0.675642857
5.383333333,9.568333333,17.383,0.7714
5.383333333,7.774444444,6.8548,0.5324
5.416666667,7.913888889,12.914,0.9604
5.416666667,8.094444444,8.9791,0.622728571
5.416666667,8.955,14.441,0.757957143
5.45,7.698611111,13.086,1
5.483333333,9.028055556,4.8375,0.253442857
5.5,12.67611111,44.252,1
5.516666667,14.38805556,42.615,0.892114286
5.516666667,9.312777778,11.755,0.575071429
5.533333333,7.482222222,11.071,1
5.533333333,8.707222222,12.54,0.733771429
5.55,6.880555556,2.7215,0.379857143
5.55,8.621111111,11.18,0.676042857
5.566666667,9.380833333,16.262,0.791785714
5.6,9.9875,17.839,0.7551
5.616666667,8.4575,9.402,0.614642857
5.616666667,7.441666667,5.0537,0.514271429
5.616666667,9.025,14.68,0.799871429
5.616666667,9.490555556,11.907,0.5708
5.633333333,8.201944444,15.269,1
5.633333333,11.38666667,34.688,1
